PLAYER_NAME,SEASON_ID,SALARY_REAL,GS,PLAYER_AGE,FG_PCT,FG3A,REB/MIN,AST/MIN,PTS/MIN
Al Jefferson,2011,15375684.0,82.0,26.0,0.496,0.0,0.2699761985719143,0.05066303978238694,0.5195511730703842
Al Jefferson,2012,15989394.0,61.0,27.0,0.492,4.0,0.2817919075144509,0.06454720616570328,0.5635838150289018
Al Jefferson,2013,16851092.0,78.0,28.0,0.494,17.0,0.2791779759596743,0.06359053896859247,0.5393563396665374
Al Jefferson,2014,14904496.0,73.0,29.0,0.509,15.0,0.3101018010963195,0.060689115113547375,0.6241190289741582
Al Jefferson,2015,14601895.0,61.0,30.0,0.481,5.0,0.27496236828901155,0.05669844455594581,0.5429001505268439
Al Jefferson,2016,14583844.0,18.0,31.0,0.485,0.0,0.27438468550592526,0.06381039197812215,0.512306289881495
Al Jefferson,2017,10942375.0,1.0,32.0,0.499,1.0,0.2982832618025751,0.0611587982832618,0.5740343347639485
Al Jefferson,2018,10282013.0,1.0,33.0,0.534,3.0,0.2948453608247423,0.061855670103092786,0.5195876288659794
Al Thornton,2008,2044390.0,31.0,24.0,0.429,130.0,0.16581750810560444,0.04539138490041686,0.4654932839277443
Al Thornton,2009,2092678.0,67.0,25.0,0.446,79.0,0.13860640301318267,0.03879472693032015,0.4497175141242938
Al Thornton,2010,2271125.0,30.0,26.0,0.478,14.0,0.13655761024182078,0.04338549075391181,0.38975817923186346
Al Thornton,2010,2271125.0,46.0,26.0,0.473,31.0,0.14134615384615384,0.04326923076923077,0.38653846153846155
Al Thornton,2011,3328476.0,23.0,27.0,0.471,25.0,0.14579439252336449,0.04766355140186916,0.36728971962616824
Al Thornton,2011,3328476.0,23.0,27.0,0.476,26.0,0.15379061371841155,0.044765342960288806,0.3783393501805054
Al-Farouq Aminu,2011,3031753.0,14.0,20.0,0.394,143.0,0.18375774260151412,0.04129387474191328,0.3145216792842395
Al-Farouq Aminu,2012,3147123.0,21.0,21.0,0.411,47.0,0.2083897158322057,0.044654939106901215,0.2699594046008119
Al-Farouq Aminu,2013,3311576.0,71.0,22.0,0.475,19.0,0.2830188679245283,0.049830672472181904,0.26850507982583455
Al-Farouq Aminu,2014,4084936.0,65.0,23.0,0.474,48.0,0.24242424242424243,0.05571847507331378,0.27956989247311825
Al-Farouq Aminu,2015,1061161.0,3.0,24.0,0.412,124.0,0.2501828822238478,0.04316020482809071,0.3013899049012436
Al-Farouq Aminu,2016,8688617.0,82.0,25.0,0.416,349.0,0.213065755764304,0.05892399658411614,0.3582408198121264
Al-Farouq Aminu,2017,8215692.0,25.0,26.0,0.393,212.0,0.25422773393461107,0.05580608793686584,0.29988726042841035
Al-Farouq Aminu,2018,7702742.0,67.0,27.0,0.395,339.0,0.2532561505065123,0.04052098408104197,0.3106608779546551
Al-Farouq Aminu,2019,7117456.0,81.0,28.0,0.433,280.0,0.2660270388137811,0.0453554295682512,0.3314435237679895
Al-Farouq Aminu,2020,9317781.0,2.0,29.0,0.291,36.0,0.2283464566929134,0.05511811023622047,0.2047244094488189
Al-Farouq Aminu,2021,9720900.0,14.0,30.0,0.404,31.0,0.24728260869565216,0.07880434782608696,0.25271739130434784
Al-Farouq Aminu,2021,9720900.0,14.0,30.0,0.384,37.0,0.25287356321839083,0.07126436781609195,0.23448275862068965
